Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
Client server,Office Information System ,New Development,MR,3GL,L,Yes,,1,No,Medical & Health Care,10222,15,,15
Stand alone,Management Information System ,Enhancement,MF,4GL,S,Yes,,1,No,Government,339,3,,3
,,New Development,PC,3GL,S,Yes,,4,,Banking,1718,32,0.07,32
,Maintenance ,Enhancement,,3GL,S,Yes,,1,,,4782,,,
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Don't Know,,1,No,Financial,1015,2.9,0,2.9
Stand alone,,New Development,MF,3GL,M1,Yes,,1,,Insurance,948,16.3,0.3,16.3
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,771,11,,11
,Voice Provisioning ,Enhancement,,3GL,M2,Yes,,1,,Communication,21864,,,
,,New Development,Multi,3GL,M2,Yes,,1,,Insurance,4408,9,1,9
Client server,Complex process control ,New Development,PC,3GL,L,Yes,,1,No,Utilities,1200,16.5,12,16.5
Stand alone,Catalogue/register of things or events Customer relationship management ,Enhancement,PC,4GL,L,,,4,,Government,19766,3,0,3
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,948,,,
Stand alone,Complex process control ,Enhancement,MR,3GL,XXL,Don't Know,,1,Yes,Manufacturing,1586,,,
Stand alone,,New Development,MF,3GL,S,,,1,No,Financial,419,,,
Client server,Online analysis and reporting ,Enhancement,Multi,4GL,M2,Yes,,1,,Service Industry,3899,14,0,14
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,13464,13,,13
,Management Information System ,Enhancement,MF,3GL,M1,Yes,,1,No,Utilities,4463,,,
,,Enhancement,MF,4GL,M1,Yes,,1,,Government,4459,4,,4
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,S,Yes,,1,,Communication,2727,10,,10
,Data Warehouse system ,Enhancement,,3GL,M2,,,1,,Communication,532,3.3,,3.3
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,866,6,0,6
,Management Information System ,Enhancement,,4GL,M2,Yes,,1,,Communication,2058,10,,10
,Transaction/Production System ,New Development,PC,3GL,M1,Yes,,1,TIBCO,Financial,13175,18,0,18
,,New Development,,,M2,Don't Know,,1,Don't Know,,3712,8,0,8
Stand alone,Reporting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,538,21.6,,21.6
Multi-tier,Online Insurance product comparision tool ,Enhancement,MR,4GL,M1,Yes,,1,,Insurance,1327,3.5,0,3.5
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,113,1.8,,1.8
Client server,Card Administration  INCAS & Fault Assurance CAPRA ,Enhancement,MF,4GL,S,Yes,,1,,Communication,2540,4,,4
,,Enhancement,,,M1,Yes,,1,,Communication,1329,12,,12
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,4,,Banking,2096,9.7,0.8,9.7
,Management of Licences and Permits ,Enhancement,Multi,3GL,S,Yes,,1,,Government,3524,36,,36
Client server,"Document management Financial transaction process/accounting Image, video or sound processing ",Re-development,Multi,3GL,M2,Yes,,1,,Government,29246,35,0,35
Stand alone,Management Information System ,Enhancement,MF,4GL,M1,Yes,,4,No,,6221,,,
Client server,Retailer sales reporting ,Enhancement,MR,4GL,M1,Yes,,,Yes,Manufacturing,1315,5.6,,5.6
Stand alone,Telecom & network management ,Enhancement,PC,3GL,S,Yes,,1,,Communication,547,1,,1
Stand-alone,Software development tool ,Enhancement,PC,3GL,,Yes,,1,,Manufacturing,11152,6.8,,6.8
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,11548,15,,15
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,202,3.9,,3.9
,MS Billing ,Enhancement,,4GL,S,,,,,,,,,
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Don't Know,,1,No,Manufacturing,563,3.8,0,3.8
Client server,Office Information System ,Enhancement,MF,,M2,Yes,,2,No,Banking,6816,13,0,13
Stand alone,Transaction/Production System ,New Development,MF,,L,Yes,,1,No,Financial,37320,12,0,12
Stand alone,Fault Tolerance Management Information System Fault Management ,New Development,MR,3GL,M2,Yes,,4,No,Communication,4086,8,,8
Stand alone,Surveillance and security ,Enhancement,PC,3GL,XS,,Yes,1,,Banking,79,12,,12
Client server,relatively complex application ,Enhancement,Multi,4GL,M1,Yes,,1,,Communication,4027,,,
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,4077,10.1,,10.1
,,New Development,,,M2,Don't Know,,1,Don't Know,,2151,5,0,5
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Financial,3627,,,
,Embedded Systems ,New Development,MR,3GL,,,,4,,Communication,3771,7.3,,7.3
Client server,"Document management Financial transaction process/accounting Image, video or sound processing ",Enhancement,Multi,3GL,M1,No,,1,,Government,5985,10,0,10
Stand alone,European Warranty Management ,Enhancement,MF,3GL,M1,Yes,,3,No,Manufacturing,1877,7,,7
Stand alone,Transaction/Production System ,Enhancement,,3GL,M1,Yes,,1,,Communication,5235,3,,3
,Financial transaction process/accounting ,New Development,Multi,3GL,S,Yes,,1,,,543,2.4,,2.4
Stand alone,Transaction/Production System ,New Development,MF,ApG,M1,Yes,,4,No,Insurance,2909,5,0,5
Client server,Embedded system/real-time application ,Enhancement,Multi,4GL,M2,Yes,,1,,Manufacturing,1858,,,
Client server,Client Server ,New Development,Multi,3GL,,,,4,,Banking,4926,9.6,,9.6
Stand alone,Financial application area ,Enhancement,MF,3GL,S,Yes,,1,,,753,4.4,,4.4
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,M2,Yes,,1,,,8170,8.1,,8.1
Client server,Software for machine control Mathematical modelling (finance or eng.) ,Re-development,PC,2GL,M2,Yes,,1,,Manufacturing,4550,20,16,20
Multi-tier,Management of Licences and Permits ,Enhancement,Multi,3GL,S,Yes,,1,,Government,1613,7.2,,7.2
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1205,10,,10
Client server,Customer billing/relationship management ,New Development,,,M1,Yes,,1,,Electronics & Computers,888,6,0,6
,,Enhancement,,3GL,S,,,1,,,503,0.99,0,0.99
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,1762,6.2,,6.2
Client server,Transaction/Production System ,Enhancement,MR,4GL,S,Yes,,1,Yes,Communication,2442,5,,5
,Financial transaction process/accounting ,New Development,PC,4GL,M2,,,1,,Insurance,545,5,,5
Multi-tier,,Enhancement,Multi,4GL,M1,Yes,,1,,Insurance,907,4,0.03,4
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,No,Insurance,2790,3,0,3
Multi-tier,Online. eSales ,Enhancement,Multi,,M1,,,1,,Communication,384,0.8,,0.8
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M2,,,1,,Communication,109,4.4,,4.4
,,New Development,Multi,3GL,M2,Yes,,1,,Government,5291,24,5,24
Stand alone,Transaction/Production System ,New Development,MF,4GL,M1,,,1,No,Communication,344,2,,2
Stand alone,Parts selling ,Enhancement,,,XXS,Yes,,3,No,Manufacturing,378,5.5,,5.5
,DSP ,Re-development,PC,3GL,,,,4,,Communication,541,4,,4
,,New Development,MF,3GL,L,Yes,,1,,Government,2925,23,2,23
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,S,Yes,,1,,,327,1,,1
Client server,Electronic Data Interchange ,Re-development,PC,3GL,,Yes,,1,No,Banking,20434,6,0,6
,Embedded system/real-time application ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,621,,,
Stand alone,,Enhancement,MR,,S,No,,1,No,Medical & Health Care,293,3,0,3
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,384,2.3,,2.3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1229,19,,19
Stand alone,Management Information System ,New Development,MR,4GL,M2,Yes,,1,No,Mining,4301,12,,12
Client server,,Enhancement,,,XS,,,1,,,40,2.2,0,2.2
Stand alone,,Enhancement,,2GL,M1,Yes,,1,,Communication,601,3,,3
Stand alone,Video Game ,New Development,PC,,,No,,1,,Wholesale & Retail,39629,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,756,3.8,,3.8
Client server,Electronic Data Interchange ,Enhancement,PC,3GL,S,Yes,,1,,Electronics & Computers,1420,4,0,4
Client server,Transaction/Production System ,New Development,PC,ApG,M2,,,1,No,Communication,2031,5,0,5
Client server,Catalogue/register of things or events Customer billing/relationship management Document management Administrative system for daycare ,Re-development,PC,3GL,M2,Yes,,1,,Service Industry,16788,15.5,2.5,15.5
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,139,1.3,,1.3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,4956,22,,22
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1086,6,,6
,,New Development,Multi,3GL,M1,Yes,,1,,Insurance,977,2,0.1,2
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,1259,6.4,0.4,6.4
Multi-tier with web public interface,"Calculation, quotation, insurance policy issue ",New Development,PC,4GL,S,Yes,,1,,Insurance,1012,8,0,8
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,XS,Yes,,1,,Financial,304,2.7,0,2.7
,,New Development,,3GL,S,Yes,,1,,Communication,682,3,,3
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,2020,3,,3
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,629,6,0,6
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XS,Yes,,1,,,110,1,,1
Client server,relatively complex application ,Enhancement,Multi,3GL,S,Yes,,1,,Communication,1888,,,
Client server,,Enhancement,,,S,,,1,,,196,2.9,0,2.9
,Web-based Application ,Other,PC,3GL,,,,4,,Service Industry,447,,,
,,New Development,MF,3GL,M1,Yes,,1,,Banking,3507,22,5.5,22
Client server,Management Information System ,Enhancement,MF,3GL,M2,Yes,,4,No,,27916,,,
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,1896,,,
Multi-tier,,New Development,MF,3GL,M2,Yes,,2,No,Insurance,2672,11,,11
Stand alone,,Enhancement,MF,3GL,M1,Yes,,2,No,Insurance,1869,12,0,12
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,,3392,8.9,0,8.9
Multi-tier with web public interface,Analysis Management ,New Development,Proprietary,5GL,M1,Yes,Yes,1,,Medical & Health Care,117,3,,3
,,New Development,PC,3GL,M2,Yes,,1,,Communication,488,16.3,12.3,16.3
,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Yes,,1,,,1066,4,,4
Multi-tier / Client server,Information systems ,Enhancement,Multi,4GL,M2,Yes,,1,No,Communication,800,2.5,0,2.5
Client server,Executive Information System ,New Development,PC,4GL,L,No,,1,No,Manufacturing,5082,,,
,,New Development,MR,3GL,S,Yes,,1,,Communication,979,9,2,9
Client server,,Enhancement,,,XS,,,1,,,181,0.99,0,0.99
,Web Content ,New Development,PC,3GL,XL,Yes,,1,No,Financial,3720,12,0,12
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,,1543,10.4,10.4,10.4
Client server,Embedded system/real-time application ,Enhancement,Multi,4GL,M1,Yes,,1,,Manufacturing,1731,,,
,,New Development,PC,3GL,M2,,,4,,Financial,714,8,3,8
Multi-tier / Client server,Stock control & order processing ,New Development,Multi,3GL,S,Don't Know,,1,No,Wholesale & Retail,366,3.1,0,3.1
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,643,5,0,5
,,New Development,MF,3GL,M1,Yes,,1,,Manufacturing,7418,9,0,9
,relatively complex application ,Enhancement,MF,3GL,XS,Yes,,1,,Communication,298,,,
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,89,1.2,,1.2
Client server,Management Information System ,Enhancement,,3GL,M1,Yes,,4,No,Wholesale & Retail,5157,16,,16
,Transaction/Production System ,Enhancement,,4GL,S,No,,1,,Communication,967,3,,3
Stand alone,Surveillance and security ,Enhancement,PC,3GL,XS,,Yes,1,,Banking,47,12,,12
,,Enhancement,,,S,,,1,,,425,3,0,3
Multi-tier,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,,,1,,Communication,529,7.8,,7.8
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,2102,5,0,5
Stand alone,Real-time System ,Enhancement,MR,3GL,S,Yes,,1,,Communication,4842,7,,7
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,473,3.7,0,3.7
,Health Management ,New Development,PC,4GL,L,,,1,,Government,5468,29,,29
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,1997,7,0,7
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,5922,12,,12
Stand alone,Transaction/Production System ,New Development,MR,,M2,Yes,,1,,Communication,5864,14,,14
Stand alone,Transaction/Production System ,New Development,,3GL,L,Yes,,1,No,Manufacturing,9834,11,,11
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,7607,3,0,3
Client server,Catalogue/register of things or events Workflow support & management ,Enhancement,PC,3GL,S,Yes,,1,,Service Industry,3132,17,3,17
Stand alone,Transaction/Production System ,Enhancement,PC,4GL,S,Yes,,1,,Communication,107,1,,1
Client server,,Enhancement,PC,4GL,,,,1,,Electronics & Computers,728,7,,7
,Data Warehouse system ,Enhancement,,3GL,S,,,1,,Communication,39,3.1,,3.1
Stand alone,Executive Information System Management Information System ,Enhancement,MF,3GL,M1,Yes,,1,No,,2451,27.1,0,27.1
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,290,2.6,0,2.6
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,785,10,,10
Stand alone,Management Information System ,Enhancement,MF,3GL,M2,Yes,,4,No,,16768,,,
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,M2,Yes,,4,No,Government,1174,9,,9
,,Enhancement,,3GL,XS,,,1,,,897,,,
Client server,Transaction/Production System ,Enhancement,PC,ApG,XS,,,1,No,Communication,347,1.5,0,1.5
Stand alone,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,377,2,0.43,2
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Don't Know,,1,No,Insurance,6309,3,0,3
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,1393,4.8,,4.8
,,New Development,,4GL,M1,No,,1,,Communication,1357,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,607,4.7,,4.7
Stand alone,Management Information System ,New Development,MF,3GL,M2,Yes,,1,No,Insurance,6317,,,
,Web-based Application ,New Development,PC,3GL,,,,4,,Manufacturing,13584,16,,16
Client server,relatively complex application ,Enhancement,Multi,3GL,S,Yes,,1,,Communication,1702,,,
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1784,15,,15
Stand alone,Management Information System ,New Development,MR,ApG,L,Yes,,3,No,Mining,1538,8,,8
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Don't Know,,1,No,Insurance,859,5,0,5
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,M1,Yes,,1,,Financial,365,1.6,0,1.6
Stand alone,Management Information System ,New Development,MF,ApG,M2,Yes,,1,No,Utilities,7263,11,2,11
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,S,,,1,,Communication,175,4.1,,4.1
,Financial transaction process/accounting ,Enhancement,MF,3GL,XXS,Don't Know,,1,No,Banking,107,1.5,0,1.5
,Transaction/Production System ,Enhancement,,3GL,S,Yes,,1,,Communication,4642,2,,2
Stand alone,,New Development,MF,4GL,M2,,,1,No,Manufacturing,3574,14,,14
,Maintenance ,Enhancement,,,M1,Yes,,1,,,1935,,,
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,8325,3.5,0,3.5
Client server,Transaction/Production System ,New Development,MF,3GL,M2,Yes,,1,No,Insurance,51527,28,0,28
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,2214,11,,11
,,Enhancement,,3GL,M1,,,1,,,9270,,,
Client server,Geographic or spatial information system Management or performance reporting Telecom & network management ,Enhancement,Multi,3GL,,Yes,,4,,Communication,12870,9.2,0,9.2
Client server,,New Development,MR,4GL,XXS,,,1,,Electronics & Computers,1008,5,,5
,Web-based Application ,Enhancement,PC,4GL,L,,,4,,Banking,8728,,,
Multi-tier with web public interface,Operating system or software utility ,New Development,MR,3GL,S,No,,1,,Electronics & Computers,1488,4,0,4
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,1939,18,,18
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M1,,,1,,Communication,100,4.4,,4.4
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1179,14,,14
,Personnel system ,New Development,PC,,M2,Don't Know,,1,No,Service Industry,2421,6.4,0,6.4
,,Enhancement,,4GL,XS,,,1,,,91,5.4,0,5.4
Stand alone,Management Information System ,Enhancement,MF,ApG,S,Yes,,2,No,Banking,2916,12,,12
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,M2,Yes,,1,,,6978,6.3,,6.3
,,New Development,MF,3GL,M1,Yes,,1,,Insurance,784,3,0,3
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,3027,5.3,0.3,5.3
,Financial transaction process/accounting ,Enhancement,PC,3GL,XS,,,1,,Banking,3737,,,
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,,,1,,Banking,3633,8.4,,8.4
Client server,"Document management Financial transaction process/accounting Image, video or sound processing ",Enhancement,Multi,3GL,M2,Yes,,1,,Government,19306,10,0,10
,,New Development,Multi,3GL,M2,Yes,,1,,Government,2055,9,2,9
Client server,Fault Tolerance Process Control Call Centre ,New Development,MF,3GL,L,Yes,,1,Yes,,50468,23.3,0,23.3
Multi-tier / Client server,Trading ,Enhancement,Multi,3GL,M2,Yes,,1,No,Service Industry,4810,5.8,0,5.8
Client server,Operating system or software utility Synchronization of Outlook and Application ,Re-development,Multi,3GL,M1,Yes,,3,,Professional Services,3887,5,0,5
Stand alone,Transaction/Production System ,New Development,MF,4GL,M2,Yes,,4,No,Insurance,534,4,0,4
,,New Development,,,L,Don't Know,,1,Don't Know,,8984,11,0,11
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,109,3.1,1.3,3.1
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,482,5,0,5
,,New Development,PC,3GL,M2,Yes,,1,,Manufacturing,2791,14,6,14
Client server,Document management Logistic or supply planning & control Online analysis and reporting Personal productivity (e.g. spreadsheet) ,Enhancement,Multi,4GL,M1,Yes,,1,,Government,1076,4,0,4
Stand alone,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,7165,7.3,0.27,7.3
Client server,,Enhancement,,4GL,S,,,1,,,86,5.8,0,5.8
,Management Information System Linguistic Software ,New Development,PC,,M1,,,4,,Electronics & Computers,232,1.2,0.1,1.2
,Integration ,Enhancement,,3GL,S,,,1,,Communication,289,6.1,,6.1
,,New Development,Multi,3GL,M2,Yes,,1,,Manufacturing,638,29,,29
Client server,Ordering ,Enhancement,Multi,3GL,S,Yes,,1,,Communication,310,7,,7
,,Enhancement,MF,3GL,M1,Yes,,1,,Communication,940,8,3,8
Client server,Cars selling ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,1691,16,,16
Stand alone,,Enhancement,MF,3GL,S,Yes,,4,,Manufacturing,10499,9,0,9
Client server,Catalogue/register of things or events Workflow support & management ,New Development,Multi,4GL,M2,Yes,,1,,Service Industry,10955,15,0,15
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,2009,12,,12
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Don't Know,,1,No,Insurance,6160,3,0,3
Client server,Embedded system/real-time application ,Enhancement,Multi,4GL,M1,Yes,,1,,Manufacturing,1728,,,
,,Enhancement,MF,3GL,XS,,,1,,,324,7.1,,7.1
,,New Development,MF,3GL,M1,Yes,,1,,Government,868,21,10,21
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,L,Yes,,1,No,,8640,7.3,0,7.3
Stand alone,Telecom Network Management ,New Development,MF,3GL,M1,Yes,,1,,Communication,1136,1,,1
,,New Development,PC,3GL,XS,Yes,,1,,Communication,1177,7,2,7
,,New Development,PC,4GL,M1,Yes,,1,,Government,967,6,0,6
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,4500,15,,15
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,6824,7.8,0,7.8
Client server,After sales Parts documentation ,Enhancement,MR,3GL,S,Yes,,3,No,Manufacturing,1445,2.8,,2.8
,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,Yes,,1,,,242,1,,1
,,Enhancement,,,S,Don't Know,,1,Don't Know,,636,7,0,7
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,464,1.1,0.2,1.1
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,2805,6.9,,6.9
,Financial transaction process/accounting ,New Development,PC,3GL,S,Don't Know,,1,No,Insurance,882,,0,
,Management Information System ,Enhancement,,4GL,S,Yes,,1,,Communication,1504,15,,15
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,188,4.1,,4.1
Multi-tier / Client server,Logistic or supply planning & control ,New Development,Multi,4GL,L,Don't Know,,1,No,Manufacturing,11853,10,0,10
Client server,Management Information System ,Enhancement,MF,,XXL,Yes,,1,Yes,Service Industry,2600,,,
,,New Development,PC,,XL,Yes,,1,,Banking,7117,12,0,12
Client server,Management Information System ,New Development,MR,3GL,M2,Yes,,2,No,Banking,17286,13,0,13
Multi-tier / Client server,Condemnation proceedings ,New Development,Multi,4GL,M2,Don't Know,,1,No,Government,1562,4.6,0,4.6
Stand alone,Data Warehouse system ,Enhancement,PC,4GL,S,Yes,,1,,Insurance,744,6,2,6
Stand alone,,Enhancement,MR,3GL,M1,No,,1,No,Communication,2216,2,,2
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,6726,5,0,5
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,1679,14,,14
Multi-tier / Client server,Stock control & order processing ,New Development,Multi,4GL,S,Don't Know,,1,No,Professional Services,310,2,0,2
Client server,Transaction/Production System ,Enhancement,MF,3GL,M2,,,1,No,Communication,17969,5,,5
,Integration ,Enhancement,,3GL,S,,,1,,Communication,172,5.5,,5.5
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,M1,Yes,,1,,Financial,265,3.4,0,3.4
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Don't Know,,1,No,Banking,843,3,0,3
Stand alone,Car Design ,New Development,PC,3GL,S,Yes,,,No,Manufacturing,557,3.6,,3.6
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,257,2.5,0,2.5
,,New Development,Multi,3GL,L,Yes,,1,,Insurance,7015,15,7,15
,Software for machine control ,Enhancement,,3GL,XS,,,1,,Manufacturing,190,24,,24
,,New Development,,4GL,M1,Yes,,1,,,1740,,,
,Transaction/Production System ,New Development,,3GL,M1,No,,1,,Communication,5960,13,,13
Client server,Quality management ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,3467,10.6,,10.6
,Transaction/Production System ,Enhancement,,3GL,M1,Yes,,1,,Communication,2433,8,,8
Client server,Selling reporting ,Enhancement,MR,,S,Yes,,3,No,Manufacturing,457,3.8,,3.8
,Sales contact management ,New Development,PC,4GL,M2,Yes,,1,No,Medical & Health Care,2385,4,0,4
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,8062,15,,15
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,20092,19,,19
,,New Development,MF,3GL,L,Yes,,1,,Insurance,12000,6,,6
Stand alone,Scientific ,Re-development,MR,4GL,M2,No,,1,No,Government,5400,42,,42
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M1,Yes,,1,,Financial,771,2.5,0,2.5
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,1770,7,0,7
,,Enhancement,,4GL,S,,,1,,,384,2.5,0,2.5
Stand alone,,New Development,MF,3GL,L,,,4,No,Manufacturing,33028,36,,36
Client server,Document management ,New Development,Multi,3GL,M2,Yes,,3,No,Manufacturing,20389,28.6,0,28.6
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,991,4,2,4
Client server,Financial transaction process/accounting ,Enhancement,MF,4GL,M1,Yes,,1,,Financial,772,5,0,5
Multi-tier / Client server,Sales contact management ,Enhancement,Multi,3GL,M1,Don't Know,,1,No,Insurance,3548,3,0,3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,4065,24,,24
,,New Development,MF,3GL,M1,Yes,,1,,Banking,1600,4,0,4
Stand alone,,New Development,MF,4GL,M1,Yes,,1,,Service Industry,308,2.2,0.2,2.2
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Don't Know,,1,No,Manufacturing,713,4.7,0,4.7
Client server,,New Development,PC,3GL,M2,,,4,,,3945,,,
Stand alone,Transaction/Production System ,New Development,MF,3GL,M2,Yes,,1,No,Mining,5078,13,,13
Client server,Production management ,Enhancement,MF,3GL,M1,Yes,,3,No,Manufacturing,2614,11.1,,11.1
Client server,relatively complex application ,Enhancement,Multi,4GL,S,Yes,,1,,Communication,750,,,
Client server,Office Information System ,New Development,MR,4GL,L,No,,1,No,Government,6249,18,,18
Stand alone,Electronic Data Interchange ,Enhancement,MF,3GL,M1,Yes,,4,No,Financial,3035,13,0,13
,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,1534,6,,6
,DB Serch system ,New Development,PC,,M1,Don't Know,,1,No,Service Industry,1163,3,0,3
,Stock control & order processing ,Enhancement,MF,3GL,M1,Yes,,1,,Wholesale & Retail,9662,,,
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,2625,9,0,9
,,Enhancement,MF,4GL,M1,,,1,No,Government,701,3,,3
Stand alone,,Enhancement,PC,3GL,XL,Yes,,2,No,Insurance,4582,6,,6
Stand alone,,Enhancement,MR,3GL,M1,,,1,No,Professional Services,736,12,,12
Client server,Customer management ,Enhancement,MR,3GL,M2,Yes,,,No,Manufacturing,12972,6.1,,6.1
Client server,Immobility & Facilities Management ,New Development,MR,3GL,M1,Yes,,,No,Manufacturing,2498,8.2,,8.2
Client server,Providing Management ,Enhancement,Multi,3GL,S,Yes,,3,No,Manufacturing,508,3.2,,3.2
Stand alone,Office Information System ,New Development,MF,3GL,M1,Yes,,2,No,Manufacturing,976,7,1,7
Stand alone,,New Development,MF,3GL,M2,,,2,Yes,Manufacturing,1167,4,,4
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,No,,4,Yes,Financial,3762,12,,12
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,L,Don't Know,,1,No,Communication,2811,3,0,3
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,473,5.9,0,5.9
,,New Development,Multi,3GL,L,Yes,,1,,Government,2169,12,,12
Multi-tier / Client server,Customer billing/relationship management ,New Development,Multi,3GL,M2,Don't Know,,1,No,Insurance,4006,3,0,3
,,Enhancement,MR,4GL,M2,Yes,,1,,Insurance,4140,7,1,7
